model_setting,accuracy,auc,precision,recall
RLL_l1_64_l2_32_lr_0.05_penalty_5.0_bs_512,0.8764044943820225,0.9027298850574713,0.9152542372881356,0.9
RLL_l1_64_l2_64_lr_0.05_penalty_5.0_bs_1024,0.8764044943820225,0.9027298850574713,0.9083333333333333,0.9083333333333333
RLL_l1_512_l2_32_lr_0.05_penalty_5.0_bs_512,0.8707865168539326,0.9132183908045977,0.9008264462809917,0.9083333333333333
RLL_l1_512_l2_512_lr_0.05_penalty_5.0_bs_1024,0.8707865168539326,0.9104885057471264,0.8943089430894309,0.9166666666666666
RLL_l1_512_l2_64_lr_0.05_penalty_0.1_bs_1024,0.8707865168539326,0.9086206896551724,0.9008264462809917,0.9083333333333333
RLL_l1_64_l2_64_lr_0.05_penalty_5.0_bs_256,0.8707865168539326,0.9076149425287356,0.907563025210084,0.9
RLL_l1_256_l2_128_lr_0.05_penalty_0.1_bs_128,0.8707865168539326,0.9070402298850575,0.9008264462809917,0.9083333333333333
RLL_l1_64_l2_64_lr_0.05_penalty_10.0_bs_512,0.8707865168539326,0.9058908045977011,0.907563025210084,0.9
RLL_l1_256_l2_32_lr_0.05_penalty_10.0_bs_1024,0.8707865168539326,0.9056034482758621,0.907563025210084,0.9
RLL_l1_128_l2_32_lr_0.05_penalty_10.0_bs_1024,0.8707865168539326,0.905603448275862,0.9008264462809917,0.9083333333333333
RLL_l1_1024_l2_512_lr_0.05_penalty_10.0_bs_1024,0.8651685393258427,0.9127873563218392,0.8870967741935484,0.9166666666666666
RLL_l1_512_l2_256_lr_0.05_penalty_10.0_bs_256,0.8651685393258427,0.9123563218390806,0.8870967741935484,0.9166666666666666
RLL_l1_256_l2_128_lr_0.05_penalty_0.1_bs_256,0.8651685393258427,0.9122126436781609,0.9,0.9
RLL_l1_1024_l2_128_lr_0.05_penalty_0.1_bs_1024,0.8651685393258427,0.9104885057471265,0.8934426229508197,0.9083333333333333
RLL_l1_1024_l2_512_lr_0.05_penalty_10.0_bs_512,0.8651685393258427,0.9089080459770116,0.8934426229508197,0.9083333333333333
RLL_l1_512_l2_128_lr_0.05_penalty_10.0_bs_512,0.8651685393258427,0.9080459770114944,0.8934426229508197,0.9083333333333333
RLL_l1_64_l2_64_lr_0.05_penalty_10.0_bs_256,0.8651685393258427,0.9080459770114943,0.8934426229508197,0.9083333333333333
RLL_l1_256_l2_32_lr_0.05_penalty_5.0_bs_512,0.8651685393258427,0.9077586206896552,0.9,0.9
RLL_l1_64_l2_32_lr_0.05_penalty_10.0_bs_128,0.8651685393258427,0.9077586206896552,0.8934426229508197,0.9083333333333333
RLL_l1_256_l2_128_lr_0.05_penalty_1.0_bs_128,0.8651685393258427,0.907183908045977,0.9,0.9
RLL_l1_128_l2_32_lr_0.05_penalty_5.0_bs_512,0.8651685393258427,0.9071839080459769,0.9,0.9
RLL_l1_64_l2_32_lr_0.05_penalty_10.0_bs_1024,0.8651685393258427,0.9070402298850574,0.9,0.9
RLL_l1_512_l2_64_lr_0.05_penalty_5.0_bs_512,0.8651685393258427,0.9066091954022989,0.8934426229508197,0.9083333333333333
RLL_l1_64_l2_64_lr_0.05_penalty_1.0_bs_256,0.8651685393258427,0.9064655172413794,0.9067796610169492,0.8916666666666667
RLL_l1_64_l2_64_lr_0.05_penalty_5.0_bs_128,0.8651685393258427,0.9058908045977012,0.9,0.9
RLL_l1_64_l2_32_lr_0.05_penalty_1.0_bs_512,0.8651685393258427,0.9024425287356321,0.9137931034482759,0.8833333333333333
RLL_l1_64_l2_64_lr_0.05_penalty_10.0_bs_128,0.8651685393258427,0.9020114942528734,0.9,0.9
RLL_l1_512_l2_256_lr_0.05_penalty_5.0_bs_128,0.8595505617977528,0.9126436781609196,0.8861788617886179,0.9083333333333333
RLL_l1_1024_l2_128_lr_0.05_penalty_10.0_bs_256,0.8595505617977528,0.9126436781609195,0.88,0.9166666666666666
RLL_l1_512_l2_256_lr_0.05_penalty_5.0_bs_512,0.8595505617977528,0.9117816091954023,0.8861788617886179,0.9083333333333333
RLL_l1_64_l2_64_lr_0.05_penalty_1.0_bs_128,0.8595505617977528,0.9116379310344828,0.8925619834710744,0.9
RLL_l1_512_l2_256_lr_0.05_penalty_1.0_bs_128,0.8595505617977528,0.9114942528735632,0.8861788617886179,0.9083333333333333
RLL_l1_256_l2_128_lr_0.05_penalty_5.0_bs_128,0.8595505617977528,0.9114942528735631,0.8861788617886179,0.9083333333333333
RLL_l1_128_l2_32_lr_0.05_penalty_5.0_bs_256,0.8595505617977528,0.9112068965517242,0.8925619834710744,0.9
RLL_l1_1024_l2_512_lr_0.05_penalty_5.0_bs_512,0.8595505617977528,0.9112068965517242,0.8861788617886179,0.9083333333333333
RLL_l1_256_l2_128_lr_0.05_penalty_10.0_bs_256,0.8595505617977528,0.9110632183908046,0.8861788617886179,0.9083333333333333
RLL_l1_64_l2_64_lr_0.05_penalty_10.0_bs_1024,0.8595505617977528,0.9109195402298851,0.8991596638655462,0.8916666666666667
RLL_l1_1024_l2_256_lr_0.05_penalty_5.0_bs_128,0.8595505617977528,0.9109195402298851,0.8861788617886179,0.9083333333333333
RLL_l1_1024_l2_128_lr_0.05_penalty_10.0_bs_512,0.8595505617977528,0.9109195402298851,0.8861788617886179,0.9083333333333333
RLL_l1_1024_l2_128_lr_0.05_penalty_1.0_bs_1024,0.8595505617977528,0.9109195402298851,0.8861788617886179,0.9083333333333333
RLL_l1_512_l2_64_lr_0.05_penalty_10.0_bs_256,0.8595505617977528,0.9104885057471265,0.8861788617886179,0.9083333333333333
RLL_l1_256_l2_256_lr_0.05_penalty_10.0_bs_512,0.8595505617977528,0.9103448275862069,0.8861788617886179,0.9083333333333333
RLL_l1_512_l2_128_lr_0.05_penalty_5.0_bs_512,0.8595505617977528,0.9096264367816093,0.8861788617886179,0.9083333333333333
RLL_l1_256_l2_256_lr_0.05_penalty_5.0_bs_128,0.8595505617977528,0.9096264367816093,0.8861788617886179,0.9083333333333333
RLL_l1_256_l2_64_lr_0.05_penalty_5.0_bs_1024,0.8595505617977528,0.9096264367816091,0.8925619834710744,0.9
RLL_l1_128_l2_64_lr_0.05_penalty_0.1_bs_1024,0.8595505617977528,0.9094827586206897,0.905982905982906,0.8833333333333333
RLL_l1_128_l2_128_lr_0.05_penalty_10.0_bs_256,0.8595505617977528,0.9094827586206897,0.8861788617886179,0.9083333333333333
RLL_l1_512_l2_128_lr_0.05_penalty_5.0_bs_1024,0.8595505617977528,0.9093390804597702,0.8925619834710744,0.9
